Title,Artist,This Week,Last Week,Peak,Duration,Album Cover
Rain On Me,Lady Gaga & Ariana Grande,1,-,1,1,https://charts-static.billboard.com/img/2020/05/lady-gaga-b8x-rain-on-me-n1e-155x155.jpg
Savage,Megan Thee Stallion Featuring Beyonce,2,1,1,11,https://charts-static.billboard.com/img/2020/03/megan-thee-stallion-z0z-savage-7q2-155x155.jpg
Rockstar,DaBaby Featuring Roddy Ricch,3,4,3,6,https://charts-static.billboard.com/img/2017/01/dababy-sfn-155x155.jpg
Blinding Lights,The Weeknd,4,3,1,26,https://charts-static.billboard.com/img/2019/12/the-weeknd-nsd-blinding-lights-gfd-155x155.jpg
Say So,Doja Cat Featuring Nicki Minaj,5,2,1,21,https://charts-static.billboard.com/img/2019/12/doja-cat-cd8-say-so-z1g-155x155.jpg
Toosie Slide,Drake,6,5,1,8,https://charts-static.billboard.com/img/2020/04/drake-p3d-toosie-slide-e5w-155x155.jpg
Don't Start Now,Dua Lipa,7,8,2,30,https://charts-static.billboard.com/img/2019/11/dua-lipa-eqf-dont-start-now-q9p-155x155.jpg
The Box,Roddy Ricch,8,7,1,25,https://charts-static.billboard.com/img/2019/12/roddy-ricch-eqp-the-box-2k7-155x155.jpg
Intentions,Justin Bieber Featuring Quavo,9,9,8,16,https://charts-static.billboard.com/img/2020/02/justin-bieber-09y-intentions-w81-155x155.jpg
Life Is Good,Future Featuring Drake,10,6,2,20,https://charts-static.billboard.com/img/2020/01/future-tsu-life-is-good-rko-155x155.jpg
Circles,Post Malone,11,10,1,39,https://charts-static.billboard.com/img/2019/09/post-malone-tp6-circles-sb0-155x155.jpg
Adore You,Harry Styles,12,12,6,25,https://charts-static.billboard.com/img/2019/12/harry-styles-psx-adore-you-n45-155x155.jpg
The Bones,Maren Morris,13,14,12,36,https://charts-static.billboard.com/img/2019/03/maren-morris-knd-the-bones-u43-155x155.jpg
Roses (Imanbek Remix),SAINt JHN,14,15,14,10,https://charts-static.billboard.com/img/2019/10/saint-jhn-000-roses-n07-155x155.jpg
Stuck With U,Ariana Grande & Justin Bieber,15,13,1,3,https://charts-static.billboard.com/img/2020/05/ariana-grande-and-justin-bieber-000-stuck-with-u-yqg-155x155.jpg
Blueberry Faygo,Lil Mosey,16,17,16,16,https://charts-static.billboard.com/img/2020/02/lil-mosey-hjw-blueberry-faygo-e1e-155x155.jpg
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",17,16,1,5,https://charts-static.billboard.com/img/2020/05/the-scotts-000-the-scotts-huk-155x155.jpg
Chasin' You,Morgan Wallen,18,18,18,18,https://charts-static.billboard.com/img/2016/08/morgan-wallen-ur7-87x87.jpg
I Hope,Gabby Barrett,19,19,16,22,https://charts-static.billboard.com/img/2019/03/gabby-barrett-l86-i-hope-mnv-155x155.jpg
Does To Me,Luke Combs Featuring Eric Church,20,22,20,11,https://charts-static.billboard.com/img/2019/11/luke-combs-m9g-does-to-me-9ea-155x155.jpg
Falling,Trevor Daniel,21,21,21,28,https://charts-static.billboard.com/img/2019/11/trevor-daniel-000-falling-gtf-155x155.jpg
Gooba,6ix9ine,22,11,3,3,https://charts-static.billboard.com/img/2020/05/6ix9ine-6ly-gooba-dfc-155x155.jpg
High Fashion,Roddy Ricch Featuring Mustard,23,24,20,22,https://charts-static.billboard.com/img/2018/11/roddy-ricch-eqp-155x155.jpg
Sunday Best,Surfaces,24,26,24,13,https://charts-static.billboard.com/img/2019/08/surfaces-uoi-155x155.jpg
Whats Poppin,Jack Harlow,25,28,25,16,https://charts-static.billboard.com/img/2020/02/jack-harlow-ft9-whats-poppin-ddu-155x155.jpg
Death Bed,Powfu Featuring beabadoobee,26,29,26,11,https://charts-static.billboard.com/img/2020/03/powfu-000-death-bed-ne9-155x155.jpg
Party Girl,StaySolidRocky,27,38,27,5,https://charts-static.billboard.com/img/2020/05/staysolidrocky-000-party-girl-8dm-155x155.jpg
Nobody But You,Blake Shelton Duet With Gwen Stefani,28,23,18,20,https://charts-static.billboard.com/img/2019/12/blake-shelton-m3d-nobody-but-you-29g-155x155.jpg
I Hope You're Happy Now,Carly Pearce & Lee Brice,29,35,29,21,https://charts-static.billboard.com/img/2019/10/carly-pearce-rdp-i-hope-youre-happy-now-1s8-155x155.jpg
Before You Go,Lewis Capaldi,30,36,30,17,https://charts-static.billboard.com/img/2017/04/lewis-capaldi-s2h-155x155.jpg
My Oh My,Camila Cabello Featuring DaBaby,31,25,12,25,https://charts-static.billboard.com/img/2015/12/camila-cabello-qq5-155x155.jpg
In Your Eyes,The Weeknd,32,58,16,10,https://charts-static.billboard.com/img/2011/11/the-weeknd-nsd-155x155.jpg
After A Few,Travis Denning,33,37,33,9,https://charts-static.billboard.com/img/2019/02/travis-denning-000-after-a-few-8ld-155x155.jpg
Break My Heart,Dua Lipa,34,39,21,9,https://charts-static.billboard.com/img/2020/04/dua-lipa-eqf-break-my-heart-641-155x155.jpg
Everything I Wanted,Billie Eilish,35,27,8,29,https://charts-static.billboard.com/img/2019/11/billie-eilish-acb-everything-i-wanted-mj1-155x155.jpg
Memories,Maroon 5,36,31,2,36,https://charts-static.billboard.com/img/2019/09/maroon-5-vhb-memories-cnj-155x155.jpg
Hard To Forget,Sam Hunt,37,44,37,9,https://charts-static.billboard.com/img/2014/06/sam-hunt-2mf-155x155.jpg
Dollaz On My Head,Gunna Featuring Young Thug,38,-,38,1,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
Be Kind,Marshmello & Halsey,39,43,29,4,https://charts-static.billboard.com/img/2020/05/marshmello-000-be-kind-wth-155x155.jpg
Beer Can't Fix,Thomas Rhett Featuring Jon Pardi,40,42,36,11,https://charts-static.billboard.com/img/2019/06/thomas-rhett-2w0-beer-cant-fix-1ze-155x155.jpg
Cooler Than A Bitch,Gunna Featuring Roddy Ricch,41,-,41,1,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
RITMO (Bad Boys For Life),The Black Eyed Peas X J Balvin,42,41,26,27,https://charts-static.billboard.com/img/2019/10/the-black-eyed-peas-kvc-ritmo-bad-boys-for-life-2fu-155x155.jpg
Hot Girl Bummer,blackbear,43,46,11,37,https://charts-static.billboard.com/img/2019/09/blackbear-nbm-hot-girl-bummer-nvt-155x155.jpg
Supalonely,BENEE Featuring Gus Dapperton,44,45,39,11,https://www.billboard.com/assets/1590780914/images/charts/bb-placeholder-new.jpg
Watermelon Sugar,Harry Styles,45,64,45,10,https://charts-static.billboard.com/img/2019/11/harry-styles-psx-watermelon-sugar-t5h-155x155.jpg
Walk Em Down,NLE Choppa Featuring Roddy Ricch,46,52,46,10,https://charts-static.billboard.com/img/2020/04/nle-choppa-7eu-walk-em-down-7lm-155x155.jpg
One Margarita,Luke Bryan,47,48,47,4,https://charts-static.billboard.com/img/2007/02/luke-bryan-3xn.jpg
Dance Monkey,Tones And I,48,47,4,34,https://charts-static.billboard.com/img/2019/08/tones-and-i-e8g-dance-monkey-945-155x155.jpg
Flex,Polo G Featuring Juice WRLD,49,30,30,2,https://charts-static.billboard.com/img/2019/03/polo-g-g7p-155x155.jpg
Sum 2 Prove,Lil Baby,50,51,16,20,https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-155x155.jpg
Bluebird,Miranda Lambert,51,55,51,8,https://charts-static.billboard.com/img/2019/11/miranda-lambert-mzw-bluebird-ueu-155x155.jpg
Go Crazy,Chris Brown & Young Thug,52,94,52,3,https://charts-static.billboard.com/img/2005/07/chris-brown-abf-155x155.jpg
Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,53,50,50,18,https://charts-static.billboard.com/img/2019/08/diplo-i1q-heartless-sm0-155x155.jpg
Emotionally Scarred,Lil Baby,54,60,31,13,https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-155x155.jpg
Top Floor,Gunna Featuring Travis Scott,55,-,55,1,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
Dior,Pop Smoke,56,59,30,15,https://charts-static.billboard.com/img/2019/08/pop-smoke-5gi-155x155.jpg
Wunna,Gunna,57,-,57,1,https://charts-static.billboard.com/img/2020/06/gunna-idr-wunna-w9x-155x155.jpg
Chicago Freestyle,Drake Featuring Giveon,58,56,14,4,https://charts-static.billboard.com/img/2009/04/drake-p3d-155x155.jpg
Blindfold,Gunna Featuring Lil Baby,59,-,59,1,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
We Paid,Lil Baby & 42 Dugg,60,70,55,4,https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-155x155.jpg
Level Of Concern,twenty one pilots,61,66,23,7,https://charts-static.billboard.com/img/2020/04/twenty-one-pilots-1st-level-of-concern-8s6-155x155.jpg
Need It,Migos Featuring YoungBoy Never Broke Again,62,-,62,1,https://charts-static.billboard.com/img/2020/06/migos-33z-need-it-mz7-155x155.jpg
After Party,Don Toliver,63,65,63,6,https://www.billboard.com/assets/1590780914/images/charts/bb-placeholder-new.jpg
I Love My Country,Florida Georgia Line,64,89,64,6,https://charts-static.billboard.com/img/2020/04/florida-georgia-line-wbf-i-love-my-country-n7j-155x155.jpg
SkyBox,Gunna,65,-,65,2,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
X,Jonas Brothers Featuring Karol G,66,33,33,2,https://charts-static.billboard.com/img/2020/05/jonas-brothers-h38-x-6lw-155x155.jpg
Argentina,Gunna,67,-,67,1,https://charts-static.billboard.com/img/2016/09/gunna-j8i-155x155.jpg
Yo Perreo Sola,Bad Bunny,68,72,53,11,https://charts-static.billboard.com/img/2016/10/bad-bunny-poo-155x155.jpg
Here And Now,Kenny Chesney,69,77,59,8,https://charts-static.billboard.com/img/2020/02/kenny-chesney-0nz-here-and-now-uwn-155x155.jpg
